name	kor	eng	math
김아름 	90	90	90
조민지	95	95	80
이상희	80	85	80
조은희	75	90	77
강민지	50	45	66
신은미	86	56	54
홍길동	45	75	65
강찬희	100	100	100
김영균	54	65	45
이태민	99	49	88
이진기	45	86	66
김기범	45	86	54
최민호	98	56	42
김종현	16	58	67
이마크	56	86	45
임민정	56	89	75
김주현	75	86	65
이도연	80	60	56
성윤아  	58	68	45
김효은	45	78	56
김희철	58	95	56
김아무개	56	75	45
김강산	45	88	56
김뽀뽀	57	89	45
김우형	45	86	75
김필정	48	54	5
김다운	45	75	58
곽초희 	78	78	78
김세연	55	76	51
이하영	78	56	55
김가운	45	78	66
안예진	75	76	56
김경선	56	86	55
박예원	77	77	77
박세진	56	56	56
김찬미	85	85	85
김태형	85	46	75
전정국	54	52	56
정호석	56	86	54
김석진	54	25	26
위정인	0	5	100
김남준	50	56	56
민윤기	65	65	86
박지만	75	78	56
김현아	56	54	51
류수빈	75	75	56
홍기완	45	86	45
한유진	85	64	55
김개똥	75	65	88
김수링	58	68	75
